Name,S1,S2,S3,S4
1,0.01709217842737092,0.0027552475011623557,0.01808893353872086,0.07652811175114108
2,5.272484456300395e-256,3.373203003087157e-67,5.0e-324,0.08108849488517224
3,3.236467598047322e-235,0.0018970216746499763,5.0e-324,0.08156602322334455
4,0.02180050900065895,1.220370146077308e-252,0.04329369060387849,0.06864310481705888
5,5.0e-324,0.005890129580812626,5.0e-324,0.0802495567662295
6,0.005464932323280953,2.6117661432985464e-103,3.1199382271351788e-146,0.08806276908451473
7,5.067293799082063e-237,7.499586422875723e-58,5.0e-324,0.08618319313704592
8,0.000488741116876754,0.004627639098302257,0.17297031006564878,0.013571299971905924
9,0.0024490878218498694,0.020296188124993533,0.0018831928908798268,0.06180177711486418
10,1.0201460832387275e-174,0.005178940287655804,0.1398356436335646,0.013693218619262744
11,3.285548421152994e-191,0.00359426027009094,0.19268571594524483,0.002965287738654007
12,1.7418526046040914e-181,0.02349302519478676,0.017213734894758914,0.05978775568236345
13,0.0,0.03782754956746468,5.0e-324,0.02208369551045643
14,0.013462701812750359,0.02641750971342623,1.1356731129112179e-5,0.041692150652064865
15,0.04337651057200163,0.011061205082520289,5.0e-324,0.018007998169130828
16,5.0e-324,0.043560764078812896,0.009282206532335167,0.02083104167663391
17,3.9747517881242567e-134,0.04219373603688862,0.006877958913190387,0.025949355142713647
18,0.020088329146411517,0.028024082608084956,0.034216290456401864,0.025576691113139448
19,0.008293110594071472,0.058089715454028336,0.005251711560352359,0.0061359974722695635
20,0.03462514464939336,0.014076235103283352,0.08663483890375567,1.1332131075100434e-83
21,0.01207613738882437,0.039326688529721,0.009101456580597632,0.021165400464372576
22,0.023440832800766274,0.04746720956979049,0.00795213963911092,8.805872890330646e-106
23,0.006278786594978999,0.03864764185244377,0.006501724234800027,0.014897583991083705
24,0.022201865715967044,0.016209798551551847,0.08588660059968083,1.350781931991955e-78
25,0.02949510314761443,0.023369643152798717,0.023464028604808986,0.014056365039731285
26,4.360177115517211e-25,0.056115398984238785,1.018079233269237e-207,0.004402497958867375
27,0.030021905862012477,0.028002764800212385,0.0066584716916523335,0.0050749942930467555
28,0.0018735192874748746,0.045476793774129,0.006138676367154869,0.004673078988845016
29,0.004458447057564305,0.04222009532285328,0.006410329305394776,0.01609250498043977
30,1.5785585482702734e-275,0.06522018054844195,6.29104041566572e-23,0.004863261774049626
31,0.012167139437085093,0.049357880534928615,0.003475360920585596,0.010197759022385991
32,0.00382163003859231,0.054653240955738605,0.0016777246431778836,0.0004931231324021261
33,0.02564210241933697,0.035672885313556675,1.9648834534172153e-124,0.003226733243587543
34,0.03439851283635028,0.03419911898289051,6.766934194073873e-91,0.005785527714978844
35,0.016536523917729008,0.037144069762591776,8.139423118502932e-65,0.006048352585750644
36,0.060533862493193896,0.009814216191384048,0.021124830667125942,0.0064197542907773264
37,0.07450750344083483,5.0e-324,0.028505231730502265,5.0e-324
38,0.057367294768620465,0.011462869648971289,5.0e-324,9.198210823274285e-286
39,0.07032199667702399,0.0036088072726335797,5.0e-324,0.0027189197306436153
40,0.06862837560151444,2.751887516076965e-213,0.02950997890061487,1.6007326497208213e-232
41,0.05415730051522052,0.01640815681296452,5.0e-324,5.0e-324
42,0.07004146067043224,0.0,0.007999310953168871,0.0023252477479623604
43,0.06407515852403886,0.014714828550501166,2.6044650233534546e-28,0.0030974333090344197
44,0.09081329534015868,0.0019244615106942227,0.027348550491763532,4.393920407534564e-5
