Name,X,Y,A,B,C,D,Signal
Alamos spr,35.06007978,-107.132374,0.042245321585945475,0.18821229164021497,0.8690177761466514,0.09387791642978435,C
Sacred spr,34.90582063,-108.9664032,0.0,0.0,0.9208033738679146,0.0,C
Rainbow spr,34.90653255,-108.9445631,0.029086421697973888,0.0,0.9262259644034679,0.0,C
Laguna Pbl,34.84456635,-107.0830558,0.0,0.24005856101797593,0.7794792910859003,0.22468552166150804,C
Dent well,34.83805433,-108.8320045,0.09031145776172397,0.0,0.9112767813287042,0.0,C
Jerry well,34.48149077,-108.7067822,0.0,0.06017766784930551,1.0,0.0,C
Pueblo well,34.53348434,-108.7744213,0.0,0.0,0.9786564064813251,0.0,C
Ojitos spr,34.12501194,-106.9785008,0.07095409824670912,0.005381823388811958,0.15410939393560757,0.8976810201893817,D
Well 1,34.15003574,-108.3236553,0.31119490860529964,0.026968384008931066,0.7017923437718884,0.009773391253428305,C
Ojo Canas,34.03785708,-106.7815119,0.07940702163204183,0.0,0.1554938456014394,0.7257187848491138,D
Socorro Can,34.05325124,-106.9551655,0.05510963385667603,0.0,0.03367243353213423,1.0,D
Aragon spr,33.89254513,-108.5081617,0.3602109806693565,0.0,0.6789220496233151,0.08933581199994353,C
Freiborn spr,33.71474239,-109.0185221,0.5799976211253888,0.0,0.25077221327508437,0.0,A
Ojo Caliente,33.57268338,-107.5905579,0.40505115887872717,0.14824593428003266,0.47343674387586526,5.893914384571922e-5,C
Victoria well,33.40490196,-106.8975047,0.16959789116659432,0.47764493524352963,0.20449048282649812,0.0,B
Gila spr 1,33.23272251,-108.2455859,0.6679031507197127,0.0,0.2365476567815185,0.04817277963132916,A
Gila spr 2,33.23328042,-108.2241539,0.6469429505112984,0.0,0.2946688528248503,0.035695219437775476,A
Warm spr,33.28479029,-107.5605437,0.42968422307985205,0.22120471535766667,0.29043705278666904,0.1775756458570341,D
Turkey spr,33.10029397,-108.4763133,0.8906708777183238,0.09132044556920911,0.06967754405247903,0.027255323699473026,A
T or C spr,33.12838501,-107.255928,0.21582637436626387,0.38127836369881984,0.0,0.44961733919277413,D
Riverside well,32.93459903,-108.5980719,0.6029834354799326,0.13297763662898557,0.24034448024294952,0.04723472384005868,A
Spring,32.95994845,-107.5725187,0.7277994199132042,0.258121156301664,0.0,0.041270000737214305,A
Cliff spr,32.9699912,-108.620893,0.5925718317160812,0.0691395083887287,0.16917006069598314,0.03374263734550832,A
B.Iorio well,33.05549771,-107.2968987,0.24853961481311915,0.2444781420254125,0.0,0.445734133318357,D
Derry spr,32.80351607,-107.2690376,0.35831920360050273,0.3247883807886812,0.15961756808079985,0.12177357563690251,B
Ash spr,32.81392736,-108.4010589,0.8603993198479322,0.0,0.04999272683149736,0.0,A
Goat spr,32.83089057,-109.0422131,0.4293573640050487,0.33058932339763303,0.05762928358721303,0.03455612502975809,B
Mangas spr,32.84699667,-108.5091049,0.6972810162699772,0.020630451526478005,0.05306531962855057,0.031858492141157393,A
Spring Can,32.88119541,-108.574546,0.6473471089442098,0.049094651183665704,0.18273902975950748,0.03326831609674891,A
Allen spr,32.88712043,-108.3611214,1.0,0.0,0.05522494721216755,0.0,A
Mimbres spr,32.75570562,-107.8440603,0.7567884682298343,0.1339797151013046,0.11580102611353385,0.01803642217865897,A
Garton well,32.77702868,-107.6953191,0.8379805222272453,0.04208227467440377,0.005599677792653452,0.008707052491917147,A
Kennecott well,32.55301934,-108.0292645,0.5469608488290035,0.28236066451822434,0.03664128753992296,0.0,A
Faywood spr,32.55403823,-107.9867174,0.5243640648539649,0.37878278403513527,0.06569777188616922,0.0,B
Apache well,32.64048324,-108.1387645,0.5695180456454458,0.18209364450203325,0.06868228933325932,0.0,A
Radium spr,32.50270608,-106.9208891,0.15047821255408195,0.6665748915558307,0.07289975499880345,0.10963361016926106,B
Well 4,32.24927086,-106.9792122,0.0,0.8204470849973303,0.0,0.14793640302118993,B
Carne well,32.25659024,-107.5737009,0.1757564844589368,0.6317059033453221,0.0,0.0,B
Los Alturas,32.27132749,-106.7036745,0.05533267835640469,0.7743579441052041,0.030874792592931532,0.0,B
Well 2,32.2846619,-107.0224495,0.0,0.7557084603576343,0.0,0.15315083817111108,B
Well 3,32.07547507,-107.6109744,0.2515809780805106,0.5963587194183838,0.0,0.0,B
Well 5,32.1426885,-106.8708971,0.0,0.7712687928356576,0.026404435973740464,0.04151481034246473,B
Lightning Dock,32.15224481,-108.8424302,0.22561772179658113,0.7055702392918682,0.03517301739696354,0.0,B
Fed H1 well,31.8515527,-107.0340698,0.029507147856863706,1.0,0.0004989532413314955,0.14193346070102633,B
