Name,A,B,Signal
Faulting,0.8639860154194702,0.4208274402712084,B
Fault curvature,3.5224390614543325e-16,0.8906899843519821,B
Fault dilation tendency,3.5224390614543325e-16,1.0,B
Fault slip tendency,3.5224390614543325e-16,0.7061461395777454,B
Inverse distance from faults,0.7926187585516936,0.6979309765852876,A
Fault density,0.8499986368467191,0.48777938044027064,A
Fault intersection density,0.67376290028213,0.43122372400936926,A
Dilation,0.7587600858647364,0.3631431497780537,A
Normal stress,0.6743222754455631,0.3547924502974166,B
Coulomb shear stress,0.6728129318305717,0.3598469054243883,B
Inverse distance from contacts,0.38851938796302027,0.19704401368108668,B
Unit thickness,1.0,0.5640171222558653,B
Good lithology,0.5013361678691258,0.22230803558068243,B
Modeled temperature,3.5224390614543325e-16,0.23930605182825926,B
